招聘4米2和6米2货运司机/驾驶员,货运司机,4人,上海闵行莘庄闵行莘庄工业园区,上海宏光食品有限公司,快速消费品(食品/...,民营,100-499人,诚信等级：,,岗位职责:1，要求户籍不限，身体健康，无不良记录。2，工作时间8小时双休，公司免费提供食宿，3，交五险一金，面试成功可以就近分配。4，有意者电话咨询或投简历，5，面试时间上午8：00――下午15：006，中介勿扰，非诚勿扰。,"上海宏光食品有限公司，一家以""传承幸福、分享快乐""为企业核心价值的国内食品制造商。历经30年的稳健发展，宏光食品不断抢占行业制高点，建设了与世界同步先进水平的硬件基础，实现跨区域营销整合，超越简单的客户订单合作模式，建立了区域精益化战略联盟的客户合作模式，销售网络已经覆盖中国31个省市、十几个国家；未来，宏光食品将不断优化产品结构，形成了以休闲食品为主，涵盖糖果、巧克力、果冻、糕点等品类的综合型企业集团；构建了""五维一体""的宏光品牌建设体系，现实宏光品牌突破性发展！"
急需蓝牌小货车司机C照以上均可,货运司机,4人,上海航鹤路1219号,松下科技有限公司,计算机/网络/通信,合资,500-999人,诚信等级：,,做五休二，包吃住交社保，电话联系我,本公司是一家合资企业，位于奉贤南桥工业园区，现有员工400人左右，左右生产电子电器等产品，待遇优厚，上班环境好，包吃住交社保
招聘7米2和9米6货运司机/驾驶员,货运司机,4人,上海奉贤南桥奉贤南桥奉浦工业园区,上海科丝美诗化妆品有限公司,生产/制造,上市公司,1000-9999人,诚信等级：,,请直接电话预约或投简历——谢谢——中介勿扰面试时间：上午8:00至下午15:00点岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；任职资格：1、年龄18-50岁，户籍不限2、无不良驾驶记录，无重大事故及交通违章；3、为人踏实、老实忠厚，保密意识强、责任心强。工作时间：每天工作8小时，周末双休， 加班另算 ，包吃住交金。,科丝美诗（中国）化妆品有限公司是韩国第一大的化妆品制造厂，世界前10位，主要生产加工乳液类、霜膏类、化妆水、膜贴、膜粉、洗面奶、精华素、防晒类、精油、粉底、洗护类等十一大类的化妆品，是韩国*大的化妆品上市企业，注册资金约100亿，工厂被认证为国际CGMP优秀化妆品制造及质量管理标准合格企业，业内有化妆品界富士康的说法。具有韩国*高水平的化妆品研究开发能力。作为韩国化妆品OEM/ODM行业的领军企业，为了进军国际市场，于2004年在上海成立了科丝美诗（中国）化妆品有限公司，专业从事化妆品的研究、开发和生产。目前我公司人数已达1000人。 科丝美诗立志全球化发展，研发、生产国际先进产品。在韩国，中国上海、中国广州、美国纽约，印度尼西亚等地均有分公司。科丝美诗的成功基于对化妆品事业执着追求和持续满足客户的需求，拥有世界顶尖级的化妆品研发技术和强大的科丝美诗团队。 科丝美诗自始至终遵守与客户许下的承诺。不仅认真负责从产品的研究开发到成品生产的全部过程，还为客户提供产品企划、设计、品质管理等完善系统化的服务。我公司与众多国际知名化妆品公司建立了长期的、良好的合作关系。其中包括世界*大的化妆品公司——欧莱雅集团，韩国*大的化妆品公司——爱茉莉太平洋集团，韩国著名企业——LG生活健康，发展迅速的化妆品公司——自然堂等等。 科丝美诗（中国）化妆品有限公司位于上海市奉贤区陈桥路，公司拥有近万种原料，ERP系统管理软件，严格的工作制度和卫生要求，完善的监督管理机制，生产节奏紧凑，确保生产、研发环境的安全，保证了产品的质量。
永乐电器急招6米2和 7米2货车司机,货运司机,4人,上海奉贤南桥奉贤南桥奉浦工业园区,上海永乐电器有限公司,超市/百货/零售,上市公司,1000-9999人,诚信等级：,,岗位职责:1，要求户籍不限，身体健康，无不良记录。2，工作时间8小时双休，公司免费提供食宿，3，交五险一金，面试成功可以就近分配。4，有意者电话咨询或投简历，5，面试时间上午8：00――下午15：006，中介勿扰，非诚勿扰。,创建于1996年的上海永乐家用电器有限公司，是一家净资产数亿元的股份制大型家电连锁零售企业，2004年底成功引入美国摩根士丹利战略投资，公司跻身中国商业零售业及中国连锁行业十强企业之一。永乐家电经历了九年家电零售业巨大变革的洗礼，从成立初年销售额只有100万，到2004年实现销售近百亿元，销售产品达数万多种，在上海、北京、天津、江苏、浙江、广东、深圳、福建、河南、四川、陕西等地拥有家电连锁大卖场，保持了年年超常规的发展业绩，成为国内家电连锁业的领头羊之一。在未来3－5年里，永乐将发展成为以家电连锁、家居连锁等为主业的大型集团公司，并通过资本运作成为优秀的上市公司。
需要a2驾照,货运司机,1人,上海中春路菜场255号,上海闵行信华南北杂货店,酒店/餐饮,民营,20人以下,诚信等级：,,需要卸货，装货，a2驾照,学校餐饮配送，餐饮批发。。。。。。。。。。。。。。。。。。。。。。。
急招4米2小货车司机有缷货员,货运司机,4人,上海航鹤路1219号,松下科技有限公司,计算机/网络/通信,合资,500-999人,诚信等级：,,做五休二，包吃住交社保，电话联系我,本公司是一家合资企业，位于奉贤南桥工业园区，现有员工400人左右，左右生产电子电器等产品，待遇优厚，上班环境好，包吃住交社保
急招商务车司机行政专用车,货运司机,2人,上海航鹤路1219号,松下科技有限公司,计算机/网络/通信,合资,500-999人,诚信等级：,,做五休二，包吃住交社保，电话联系我,本公司是一家合资企业，位于奉贤南桥工业园区，现有员工400人左右，左右生产电子电器等产品，待遇优厚，上班环境好，包吃住交社保
科丝美诗招面包车配送司机可自带车,货运司机,3人,上海奉贤南桥奉贤南桥奉浦工业园区,上海科丝美诗化妆品有限公司,生产/制造,上市公司,1000-9999人,诚信等级：,,岗位职责:1，要求户籍不限，身体健康，无不良记录。2，工作时间8小时双休，公司免费提供食宿，3，交五险一金，面试成功可以就近分配。4，有意者电话咨询或投简历，5，面试时间上午8：00――下午15：006，中介勿扰，非诚勿扰。,科丝美诗（中国）化妆品有限公司是韩国第一大的化妆品制造厂，世界前10位，主要生产加工乳液类、霜膏类、化妆水、膜贴、膜粉、洗面奶、精华素、防晒类、精油、粉底、洗护类等十一大类的化妆品，是韩国*大的化妆品上市企业，注册资金约100亿，工厂被认证为国际CGMP优秀化妆品制造及质量管理标准合格企业，业内有化妆品界富士康的说法。具有韩国*高水平的化妆品研究开发能力。作为韩国化妆品OEM/ODM行业的领军企业，为了进军国际市场，于2004年在上海成立了科丝美诗（中国）化妆品有限公司，专业从事化妆品的研究、开发和生产。目前我公司人数已达1000人。 科丝美诗立志全球化发展，研发、生产国际先进产品。在韩国，中国上海、中国广州、美国纽约，印度尼西亚等地均有分公司。科丝美诗的成功基于对化妆品事业执着追求和持续满足客户的需求，拥有世界顶尖级的化妆品研发技术和强大的科丝美诗团队。 科丝美诗自始至终遵守与客户许下的承诺。不仅认真负责从产品的研究开发到成品生产的全部过程，还为客户提供产品企划、设计、品质管理等完善系统化的服务。我公司与众多国际知名化妆品公司建立了长期的、良好的合作关系。其中包括世界*大的化妆品公司——欧莱雅集团，韩国*大的化妆品公司——爱茉莉太平洋集团，韩国著名企业——LG生活健康，发展迅速的化妆品公司——自然堂等等。 科丝美诗（中国）化妆品有限公司位于上海市奉贤区陈桥路，公司拥有近万种原料，ERP系统管理软件，严格的工作制度和卫生要求，完善的监督管理机制，生产节奏紧凑，确保生产、研发环境的安全，保证了产品的质量。
柘中招聘C1证以上货运车司机,货运司机,4人,上海奉浦大道99号,柘中集团有限公司,其它行业,上市公司,500-999人,诚信等级：,,8小时双休日，包吃住交社保，电话咨,本公司位于奉贤工业园区，以踏实，拼搏，敬业精神，诚信共赢的开创理念，创造良好的企业环境，坚持用户至上，用心服务于客户
招脾气好的驾驶员,货运司机,1人,上海早上从金山卫出发去平湖提货，货装好后一路上送给各个厂家，晚上再回到金山卫,浙江三和拉链,生产/制造,民营,500-999人,诚信等级：,,除了开车还要跟我一起装货卸货，每包货大约六七十斤，管午餐不包住，一个月有时歇两天，有时歇三五天，由于是私人性质，没有严格的上下班时间，基本上是早上八点之前上班，晚上五六点左右回到金卫镇。月工资3600元。脾气一定要好，不小心眼，勤快肯干，开车熟练要稳，请仔细考虑，性格急躁者免谈,本公司专门生产和销售拉链
招聘C1证以上货运车司机,货运司机,4人,上海都会路2173,威宏科技有限公司,计算机/网络/通信,合资,500-999人,诚信等级：,,8小时双休日，包吃住交社保，打电话联系我,本公司是一家合资企业，现有员工500人左右，位于奉贤南桥工业园区，主要生产电子，电器等产品，公司待遇优厚，上班环境好，包吃住交社保
急招快递货运车驾驶员,货运司机,4人,上海莘北路1759号,永桥科技有限公司,计算机/网络/通信,合资,500-999人,诚信等级：,,做五休二，包吃住交社保，电话联系我,公司是一家新成立的公司，从不缺少机会，在这里努力定有收获，公司以人为本，追求企业和员工同成长，专业生产电子，电器等产品
急招商务车司机骄车司机也可自带车,货运司机,4人,上海莘北路1759号,永桥科技有限公司,计算机/网络/通信,合资,500-999人,诚信等级：,,做五休二，包吃住交社保，电话联系我,公司是一家新成立的公司，从不缺少机会，在这里努力定有收获，公司以人为本，追求企业和员工同成长，专业生产电子，电器等产品
急招4米2和9米6厢式货车司机,货运司机,4人,上海莘北路1759号,永桥科技有限公司,计算机/网络/通信,合资,500-999人,诚信等级：,,做五休二，包吃住交社保，电话联系,公司是一家新成立的公司，从不缺少机会，在这里努力定有收获，公司以人为本，追求企业和员工同成长，专业生产电子，电器等产品
急招货运司机,货运司机,1人,上海浦东曹路浦东新区曹路镇川安路88号,个体,其它行业,民营,20-99人,诚信等级：,,熟悉上海路线，B2证，会开九米六车，能吃苦耐劳,这家公司还没来得及写简介~
急需4米2和6米8货车司机,货运司机,4人,上海科工路975号,金威科技有限公司,计算机/网络/通信,合资,500-999人,诚信等级：,,做五休二，包吃住交社保，打电话联系我,本公司成立于1998年，主要生产电子电器为主，坐于南桥工业园区，现有员工600人左右，待遇优厚，工作环境好，包吃住交社保
上海励衡物流,货运司机,1人,上海嘉定封浜嘉定南翔安亭黄渡镇曹联支路25号,励衡,贸易/交通/运输/物流,民营,20-99人,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、年龄28-35岁，B2本，5年以上实际驾驶经验，有货运资格证，熟悉本地路况；2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。,糖糖果屋企业家人的电影票价值
上海励衡物流,货运司机,1人,上海嘉定黄渡嘉定南翔安亭黄渡镇曹联支路25号,励衡,贸易/交通/运输/物流,民营,20-99人,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、年龄28-35岁，B2本，5年以上实际驾驶经验，有货运资格证，熟悉本地路况；2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。,糖糖果屋企业家人的电影票价值
农工商急需C1证以上货运车司机,货运司机,4人,上海奉浦大道97号,上海农工商农工商超市,其它行业,其他,100-499人,诚信等级：,,做五休二，包吃住交社保，电话联系我,上海农工商历史悠久，分布全国各地，主要营业百货，电器，安装，售后，配件，欢迎洽谈合作
百雀羚直招C1别克商务车司机,货运司机,3人,上海奉浦大道99号,百雀羚日用品有限公司,其它行业,上市公司,500-999人,诚信等级：,,做五休二，包吃住交社保，电话联系我,百雀羚创建于1931年，公司历史悠久，以研究，开发，生产，销售为一体的化妆品专业生产企业，公司包吃住交社保
农工商急需面包车配送司机可自带车,货运司机,4人,上海奉浦大道97号,上海农工商农工商超市,其它行业,其他,100-499人,诚信等级：,,做五休二，包吃住交社保，电话联系我,上海农工商历史悠久，分布全国各地，主要营业百货，电器，安装，售后，配件，欢迎洽谈合作
百雀羚直招送货司机C照以上均可,货运司机,4人,上海奉浦大道99号,百雀羚日用品有限公司,其它行业,上市公司,500-999人,诚信等级：,,做五休二，包吃住交社保，电话联系我,百雀羚创建于1931年，公司历史悠久，以研究，开发，生产，销售为一体的化妆品专业生产企业，公司包吃住交社保
农工商急需送货车司机C照以上均可,货运司机,4人,上海奉浦大道97号,上海农工商农工商超市,其它行业,其他,100-499人,诚信等级：,,做五休二，包吃住交社保，电话联系我,上海农工商历史悠久，分布全国各地，主要营业百货，电器，安装，售后，配件，欢迎洽谈合作
永乐电器诚招货运驾驶员,货运司机,5人,上海南汇航头奉贤区南桥工业园环城东路易买得,上海永乐电器实业有限公司,贸易/交通/运输/物流,合资,500-999人,诚信等级：,,岗1，要求户籍不限，身体健康，无不良记录。2，工作时间8小时双休，公司免费提供食宿，3，交五险一金。4，有意者可以投递一份简历，也可电话咨询，人事经理会统一回复5，面试时间上午8：0――下午3：00,任职资格:8小时双休，公司免费提供食宿，交五险一金，户籍不限
农工商急需4米2厢式货车小货车司机,货运司机,4人,上海奉浦大道97号,上海农工商农工商超市,其它行业,其他,100-499人,诚信等级：,,做五休二，包吃住交社保，电话联系我,上海农工商历史悠久，分布全国各地，主要营业百货，电器，安装，售后，配件，欢迎洽谈合作
驾驶员C照B照+包吃住,货运司机,3人,上海奉贤金汇奉贤金汇大叶公路,上海帝盛物流有限公司,贸易/交通/运输/物流,合资,20-99人,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、年龄18-53岁，外地户籍 C1本以上，1年以上实际驾驶经验，有货运资格证，熟悉本地路况；　2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；　4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。薪资待遇：5000-6500元左右/月,积极研发和引进具有高科技含量的信息技术与设备，不断提升作业自动化水平，不断优化网络建设，实现了对快件产品流转全过程、全环节的信息监控、跟踪、查询及资源调度工作，确保了服务质量的稳步提升
百雀羚直招4米2和7米2厢式货车司机,货运司机,5人,上海奉浦大道99号,百雀羚日用品有限公司,其它行业,上市公司,500-999人,诚信等级：,,做五休二，包吃住交社保，电话联系我,百雀羚创建于1931年，公司历史悠久，以研究，开发，生产，销售为一体的化妆品专业生产企业，公司包吃住交社保
奥托力夫招聘C1以上货运车司机,货运司机,4人,上海奉浦大道97号,奥托立夫科技有限公司,其它行业,合资,500-999人,诚信等级：,,8小时双休日，包吃住交社保，电话咨询,奥托立夫有限公司位于奉贤奉浦工业园区，公司主要经营电子，电器等产品，公司待遇优厚，上班环境好，提供吃住
百雀羚直招商务车司机电瓶车快递员,货运司机,4人,上海奉浦大道99号,百雀羚日用品有限公司,其它行业,上市公司,500-999人,诚信等级：,,做五休二，包吃住交社保，电话联系我,百雀羚创建于1931年，公司历史悠久，以研究，开发，生产，销售为一体的化妆品专业生产企业，公司包吃住交社保
4.2-6.8厢式货车司机+提供食宿,货运司机,2人,上海松江九亭松江九亭中心路,上海帝盛物流有限公司,贸易/交通/运输/物流,合资,20-99人,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、年龄18-53岁，外地户籍 C1本以上，1年以上实际驾驶经验，有货运资格证，熟悉本地路况；　2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；　4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。薪资待遇：5800-6500元左右/月,积极研发和引进具有高科技含量的信息技术与设备，不断提升作业自动化水平，不断优化网络建设，实现了对快件产品流转全过程、全环节的信息监控、跟踪、查询及资源调度工作，确保了服务质量的稳步提升
c1货运司机 4500+提成+包吃住,货运司机,3人,上海宝山罗泾宝山罗泾工业园,上海帝盛物流有限公司,贸易/交通/运输/物流,合资,20-99人,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、年龄18-53岁，外地户籍 C1本以上，1年以上实际驾驶经验，有货运资格证，熟悉本地路况；　2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；　4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。薪资待遇：5000-6500元左右/月,积极研发和引进具有高科技含量的信息技术与设备，不断提升作业自动化水平，不断优化网络建设，实现了对快件产品流转全过程、全环节的信息监控、跟踪、查询及资源调度工作，确保了服务质量的稳步提升
c1货运司机 4500+提成+包吃住,货运司机,5人,上海松江泗泾上海松江区泗泾沪松公路,上海同人物流有限公司,贸易/交通/运输/物流,民营,20-99人,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、年龄18-53岁，外地户籍 C1本以上，1年以上实际驾驶经验，有货运资格证，熟悉本地路况；　2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；　4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。薪资待遇：5000-6500元左右/月,公司服务包括：仓储及库存管理、长途运输、国内配送运输、第三方物流方案设计及供应链管理方案等其他增值服务。公司努力向客户提供全方位、全天候的物流服务，并严格按照客户的要求有效地利用物流设施和网络资源，在专业团队的管理下实行标准化运作。从客户的需求出发，提供差异化的，高效率的和高性价比的物流服务。与客户、雇员、供应商及合作伙伴建立良好的、互信的、共赢的合作关系，并致力于成为行业中领先的企业。
4.2-6.8厢式货车司机+提供食宿,货运司机,5人,上海闵行吴泾上海闵行区吴泾龙吴路,上海同人物流有限公司,贸易/交通/运输/物流,民营,20-99人,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、年龄18-53岁，外地户籍 C1本以上，1年以上实际驾驶经验，有货运资格证，熟悉本地路况；　2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；　4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。薪资待遇：5000-6500元左右/月,公司服务包括：仓储及库存管理、长途运输、国内配送运输、第三方物流方案设计及供应链管理方案等其他增值服务。公司努力向客户提供全方位、全天候的物流服务，并严格按照客户的要求有效地利用物流设施和网络资源，在专业团队的管理下实行标准化运作。从客户的需求出发，提供差异化的，高效率的和高性价比的物流服务。与客户、雇员、供应商及合作伙伴建立良好的、互信的、共赢的合作关系，并致力于成为行业中领先的企业。
上海闸北招驾驶员,货运司机,5人,上海闸北天目西路恒丰路 苏河1号,上海虫虫居信息科技发展有限公司,计算机/网络/通信,民营,20人以下,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、年龄28-35岁，B2本，5年以上实际驾驶经验，有货运资格证，熟悉本地路况；2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。,本公司为苹果授权经销商，主要供江浙沪地区零售/批发。因公司发展需要有志之士加盟。
龙力得急需C1别克商务车司机,货运司机,3人,上海南桥奉浦工业园,上海龙利得有限公司,其它行业,合资,500-999人,诚信等级：,,做五休二，包吃住交社保，打电话联系我,本公司位于奉贤奉浦工业园区，现有员工900人左右，公司待遇优厚，上班环境好，提供吃住
龙力得直招金杯车骄车司机,货运司机,4人,上海南桥奉浦工业园区,上海龙利得有限公司,其它行业,合资,500-999人,诚信等级：,,做五休二，包吃住交社保，打电话联系我,本公司位于奉贤奉浦工业园区，现有员工900人左右，公司待遇优厚，上班环境好，提供吃住
龙力得直招C1证以上货运车司机,货运司机,4人,上海南桥奉浦工业园区,上海龙利得有限公司,其它行业,合资,500-999人,诚信等级：,,8小时双休日，包吃住交社保，打电话联系我,本公司位于奉贤奉浦工业园区，现有员工900人左右，公司待遇优厚，上班环境好，提供吃住
物流货运司机C1 B2+提供食宿,货运司机,3人,上海闵行颛桥闵行颛桥颛兴路,上海仁熙实业有限公司,生产/制造,合资,20-99人,诚信等级：,,岗位职责:岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、年龄18-53岁，外地户籍 C1本以上，1年以上实际驾驶经验，有货运资格证，熟悉本地路况；　2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；　4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。薪资待遇：5000-6500元左右/月,公司秉承“诚招天下客，誉从信中来”的经营理念，为各行业用户提供高品质产品和服务，并保证经营所有产品均为正品。
c1货运司机 4500+提成+包吃住,货运司机,3人,上海嘉定徐行嘉定徐行新建一路,上海仁熙实业有限公司,生产/制造,合资,20-99人,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、年龄18-53岁，外地户籍 C1本以上，1年以上实际驾驶经验，有货运资格证，熟悉本地路况；　2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；　4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。薪资待遇：5000-6500元左右/月,公司秉承“诚招天下客，誉从信中来”的经营理念，为各行业用户提供高品质产品和服务，并保证经营所有产品均为正品。
龙力得急需4米2厢式货车驾驶员,货运司机,4人,上海南桥奉浦工业园区,上海龙利得有限公司,其它行业,合资,500-999人,诚信等级：,,做五休二，包吃住交社保，电话咨询,本公司位于奉贤奉浦工业园区，现有员工900人左右，公司待遇优厚，上班环境好，提供吃住
4.2-6.8厢式货车司机+提供食宿,货运司机,5人,上海闵行莘庄上海闵行区莘庄沁春路,上海三旗物流有限公司,贸易/交通/运输/物流,民营,20-99人,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、年龄18-53岁，外地户籍 C1本以上，1年以上实际驾驶经验，有货运资格证，熟悉本地路况；　2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；　4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。薪资待遇：5000-6500元左右/月,本公司以开拓的思路、超前的意识，塑造崭新的形象，用在实践中探索出来的管理制度和工作程序为各类企业提供优质高效的服务。 多年来公司一直致力于为大中型生产企业、原材料供应与成品销售的供应链提供服务，为商业连锁企业多点进货，多点分送的配送系统提供服务。在广大新老客户和各界友人的支持与关心下，公司内强素质，外树形象，综合服务能力。本公司具有运输部，客服部，仓储部，车队，财务部等一套完善的管理体制！为您提供最完美的物流方案、最方便快捷的服务、最低廉的运输价格和最高效的供应链。本公司的宗旨是：以最优质的服务，赢得客户；以最低廉的价格，吸引客户。一票托运，全程无忧。
c1货运司机 4500+提成+包吃住,货运司机,5人,上海青浦赵巷上海青浦区赵巷公路,上海三旗物流有限公司,贸易/交通/运输/物流,民营,20-99人,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、年龄18-53岁，外地户籍 C1本以上，1年以上实际驾驶经验，有货运资格证，熟悉本地路况；　2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；　4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。薪资待遇：5000-6500元左右/月,本公司以开拓的思路、超前的意识，塑造崭新的形象，用在实践中探索出来的管理制度和工作程序为各类企业提供优质高效的服务。 多年来公司一直致力于为大中型生产企业、原材料供应与成品销售的供应链提供服务，为商业连锁企业多点进货，多点分送的配送系统提供服务。在广大新老客户和各界友人的支持与关心下，公司内强素质，外树形象，综合服务能力。本公司具有运输部，客服部，仓储部，车队，财务部等一套完善的管理体制！为您提供最完美的物流方案、最方便快捷的服务、最低廉的运输价格和最高效的供应链。本公司的宗旨是：以最优质的服务，赢得客户；以最低廉的价格，吸引客户。一票托运，全程无忧。
快递公司司机,货运司机,2人,上海赵屯镇白石公路,百世供应链,贸易/交通/运输/物流,民营,20-99人,诚信等级：,,要求能吃苦耐劳，能够服从组织安排,上海市上海市上海市青浦区赵屯镇白石公路赵屯镇白石公路赵屯镇白石公路
光明乳业招聘 7米2 9米6货车司机,货运司机,5人,上海金山石化环城东路和运河北路交叉口,上海光明乳业有限公司,快速消费品(食品/...,民营,20-99人,诚信等级：,,岗位职责:小车和面包车司机都可以自带车，可以就近分配任职资格:工作时间:,我们公司的光明牛奶和食品有良好的口碑，你安心放心的食品响应全世界。
驾驶员需要搬运,货运司机,1人,上海上海闵行区颛桥镇,给力贸易,其它行业,民营,20人以下,诚信等级：,,岗位职责：把货送到各大酒店任职资格:吃苦耐劳，诚实诚恳。工作时间:上午一般8点，下班夏天不会超过9点。 工作时间:,就是需要招搬运的，一天8小时左右，有点时候没事就可早回，工资面谈，包吃包住 待遇不要错的，如有需要电话联系
光明乳业直招6米8厢货车驾驶员,货运司机,5人,上海闵行七宝环城南路和九华路路口,上海光明乳业有限公司,快速消费品(食品/...,国企,100-499人,诚信等级：,,岗位职责:包吃住交社保，可以就近分配任职资格:工作时间:,公司生产牛奶和食品有良好的口碑，现代化全自动的生产模式 保证了食品的卫生安全
科斯美斯招聘4米和6米8货车司机,货运司机,5人,上海奉贤南桥环城东路900号,上海科斯美斯化妆品有限公司,快速消费品(食品/...,合资,100-499人,诚信等级：,,岗位职责:包吃住交社保户籍不限任职资格:工作时间:,科丝美诗(COSMAX)是韩国第一大的化妆品制造厂，世界前10位，注册资金约100亿，工厂被认证为国际CGMP优秀化妆品制造及质量管理标准合格企业，业内有化妆品界富士康的说法。科丝美诗（中国）化妆品有限公司位于上海市奉贤区，公司拥有近万种原料，ERP系统管理软件，严格的工作制度和卫生要求，完善的监督管理机制，生产节奏紧凑，确保生产、研发环境的安全，保证了产品的质量。科丝美诗不断地发展壮大，为全面服务于国内大中小型化妆品企业，2013年位于广州市从化经济开发区的工厂落成投产，生产成本得到有效降低，生产能力得到提高。历史编辑
司机5000-8000,货运司机,1人,上海奉贤奉城奉满路9号头桥经济城,上海紫薇（美森耐）门业,生产/制造,民营,20-99人,诚信等级：,,基本工资4000 有木门安装基础的话一年10万没问题,上海紫薇门业有限公司采用美森耐公司面板，并按照美森耐公司的质量标准和中国国家标准，专业生产美森耐房门，是美森耐公司在中国指定生产商之一。
光明乳业招聘 7米2 9米6货车司机,货运司机,5人,上海奉贤南桥奉贤南桥环城东路901号,上海光明乳业有限公司,快速消费品(食品/...,合资,100-499人,诚信等级：,,包吃住交社保户籍不限,公司包吃住 交社保 户籍不限 有要吃苦耐劳的精神 愿意服从领导的安排 8小时双休 加班另外算
企业直招搬运工司机小工,货运司机,1人,上海江杨北路98号,上海三瑞企业发展有限公司,快速消费品(食品/...,民营,20-99人,诚信等级：,,搬货，进出货，开车接送货。全顺车,主营各类进口食品，用于零售、餐饮。主要包括海产、坚果、水果等
